input_sd,output_sd
ريلوي جي سهولتن ۽ خلاف ورزين جي صورت ۾ جزا ڇا ٿي سگهي ٿو؟,"ريلوي سهولتن يا خلاف ورزي جي صورت ۾، ريلوي پوليس ڪارروائي يا سزا ڏئي سگهي ٿي."
ريلوي پوليس جون ذميواريون ڇا آهن؟,ريلوي پوليس جو ڪم ريلوي قانونن تي عمل ڪرائڻ ۽ خلاف ورزين کي روڪڻ آهي.
ريلوي جون سهولتون ڇا شامل آهن؟,"ريلوي سهولتن ۾ ريلوي اسٽيشن، لائينون، ٽرينون، ٽڪيٽون، مشوري ۽ حفاظتي خدمتون شامل آهن."
ريلوي ڪمپنين کي مسافرن کي ڪيئن خبر پوي ٿو؟,ريلوي ڪمپنيون مسافرن کي خطرن بابت آگاهي ڏينديون ۽ حفاظتي تدبيرون اختيار ڪرڻ جي صلاح ڏينديون.
ريلوي ڪمپنين ريلوي جي سهولتن جي خلاف خطرن کي گهٽائڻ لاء ڇا ڪندا آهن؟,"ريلوي ڪمپنيون نگراني، آگاهي، ۽ ضروري صورت ۾ سزا يا ٻين حفاظتي قدمن تي عمل ڪنديون."
ريلوي جي سهولتن جي خلاف ورزي جي خطرن کي گهٽائڻ سان ڇا حاصل ڪري سگهجي ٿو؟,ريلوي جي خلاف ورزي جي خطري کي گهٽائڻ سان مسافرن جي حفاظت ۽ ٽرانسپورٽ سسٽم جي اعتبار وڌي ٿو.
ريلوي خلاف ورزين جي صورت ۾ ڇا ممڪن ٿي سگهي ٿو؟,"ريلوي خلاف ورزي تي پابندي، پوليس جي ڪارروائي يا ڏنڊ ٿي سگهي ٿو."
ريلوي اسٽيشنون ڇا آهن؟,"ريلوي اسٽيشن جتي مسافر چڙهندا ۽ لهندا آهن، اتي ٽڪيٽون، ٽوائلٽ ۽ انتظار جا ڪمرا هوندا آهن."
ريلوي لائينون ڇا آهن؟,"ريلوي لائينون مختلف اسٽيشنن کي ملائيندڙ پٽڙيون آهن، جيڪي لوهه يا اسٽيل مان ٺهيل آهن."
ريلوي ٽرينون ڇا آهن؟,"ريلوي ٽرينون لائينن تي هلندڙ گاڏيون آهن، جن ۾ مسافر ۽ مال بردار ٽرينون شامل آهن."
ريلوي جي سهولتن ۾ مسافر ٽرانسپورٽ ڇا آهي؟,"ريلوي سهولتن ۾ بس، ٽيڪسي ۽ ڪرائي جي ڪارون شامل آهن، جيڪي اسٽيشن ۽ گهر/آفيس جي وچ ۾ سفر لاءِ آهن."
ريلوي ٽڪيٽون ڇا آهن؟,"ريلوي ٽڪيٽون سفر لاءِ خريد ڪيون وڃن ٿيون، جيڪي مختلف قسمن جي ٿي سگهن ٿيون، مثال طور سفري يا رعايتي ٽڪيٽ."
ريلوي جي سهولتن لاء صلاح مشوري جون خدمتون ڇا آهن؟,ريلوي ڪمپنيون مشوري جون خدمتون ڏين ٿيون جيئن مسافرن کي ٽرينن جي ٽائيم ٽيبل ۽ حالتن بابت آگاهي ملي.
ڏنڊ تنخواه ڇا آهي؟,"خلاف ورزي ڪندڙ کي ڏنڊ طور رقم ادا ڪرڻي پوي ٿي، جيڪا جرم جي قسم تي منحصر آهي."
بحالي ڇا آهي؟,بحالي يا جرمانو عام طور تي ڀڃڪڙي جي قسمن ۽ تعداد تي ڀاڙيندو آهي.
خلاف ورزيٽر خلاف قانوني ڪارروائي ۾ ڇا ڪري سگهجي ٿو؟,قانوني ڪارروائي ۾ پوليس ڪيس رجسٽر ڪري سگهي ٿي ۽ ڏوهه جي صورت ۾ سزا ٿي سگهي ٿي.
رجسٽريشن ۽ رجسٽريشن ڇا آهي؟,"آرڊيننس تحت موٽر گاڏين لاءِ رجسٽريشن، ملڪيت جي تصديق ۽ معائنو ضروري آهي."
لائسنس ڇا آهي؟,"آرڊيننس تحت ڊرائيور لاءِ موٽر گاڏي هلائڻ جو لائسنس ضروري آهي، جنهن ۾ معلومات ۽ اجازت شامل آهي."
موٽر گاڏي جي استعمال تي پابند ڇا آهن؟,"آرڊيننس تحت، رفتار جون پابنديون، ٽرئفڪ قانونن جو احترام ۽ سيٽ بيلٽ جي پابندي وغيره شامل آهن."
نازڪ نظام ڇا آهي؟,"آرڊيننس ۾ تنقيدي نظام آهي جيئن پوليس جي نگراني، چالان ۽ رپورٽنگ جو عمل."
ٽرئفڪ قاعدن تحت سڀ کان وڏي سزا ڇا آهي؟,ٽرئفڪ قانونن تحت وڏي ۾ وڏي جرمانو سنگين خلاف ورزي تي ٿي سگهي ٿو.
موٽر گاڏي هلائڻ لاء ڇا ضروري آهي؟,آرڊيننس تحت گاڏي هلائڻ لاءِ ملڪيت جي تصديق ضروري آهي.
موٽر گاڏي هلائڻ دوران سيٽ بيلٽ استعمال ڪرڻ ضروري ڇو آهي؟,"آرڊيننس تحت، سيٽ بيلٽ حادثي جي صورت ۾ حفاظت لاءِ ضروري آهي."
صوبائي موٽر گاڏي آرڊيننس تحت ڊرائيور جا پابند ڇا آهن؟,"صوبائي موٽر گاڏي آرڊيننس 1965 تحت رفتار جون پابنديون، قانون جو احترام ۽ سيٽ بيلٽ جي استعمال شامل آهن."
موٽر گاڏي هلائڻ لاءِ ڊرائيونگ لائسنس ڇو ضروري آهي؟,"آرڊيننس تحت، موٽر گاڏي هلائڻ لاءِ ڊرائيونگ لائسنس حاصل ڪرڻ ضروري آهي ته جيئن ڊرائيور جي صلاحيت ۽ ڄاڻ جي تصديق ٿي سگهي."
ڊرائيور کي حادثي ۾ زخمي ٿيندڙ مسافرن کي ڇا مهيا ڪرڻ گهرجي؟,"آرڊيننس 2000 تحت، ڊرائيور کي حادثي ۾ زخمي مسافرن لاءِ بروقت طبي امداد جو بندوبست ڪرڻ ضروري آهي ۽ ڀڃڪڙي تي سزا ملي سگهي ٿي."
قومي شاهراه تي حادثو ٿيڻ جي صورت ۾ گاڏي جي ڊرائيور يا ذميوار لاءِ ڇا ضروري آهي؟,حادثي جي نتيجي ۾ زخمي ٿيندڙن لاءِ فوري طبي امداد جو بندوبست ڪري ۽ ضرورت هجي ته ويجهي اسپتال پهچائي.
جيڪڏهن ڪو جانور حادثي ۾ زخمي ٿي وڃي ته ڇا ڪرڻ گهرجي؟,جانور جي مالڪ يا سنڀاليندڙ کي اطلاع ڏيو ۽ ضرورت هجي ته طبي امداد جو بندوبست ڪريو.
جيڪڏهن حادثي سبب ڪنهن جي ملڪيت کي نقصان پهچي ته ڇا ڪرڻ گهرجي؟,ملڪيت جي مالڪ کي اطلاع ڏيڻ گهرجي ۽ جيڪڏهن آفيسر موجود نه هجي ته 24 ڪلاڪن اندر ويجهي پيٽرول پوسٽ کي اطلاع ڏيو.
جيڪڏهن قومي شاهراه تي هلندڙ گاڏي ملوث هجي يا جانور يا ملڪيت کي نقصان رسايو هجي ته سزا ڇا ٿي سگهي ٿي؟,ٽي هزار رپيا جرمانو يا ڇهه مهينا قيد جي سزا ٿي سگهي ٿي.
جيڪڏهن ڪنهن حادثي جو سبب بڻجڻ واري ڀڃڪڙي ٿئي ته ڇا نتيجا ٿي سگهن ٿا؟,متاثر ڌر کي قيمت جي برابر پئسا يا مرمت جو خرچ ادا ڪرڻو پوندو.
روڊ تي حادثي جي صورت ۾ ڊرائيور جي ذميواري ڇا آهي؟,ڊرائيور کي حادثي جي جڳهه تي رهڻ ۽ ٻين جي مدد ڪرڻ گهرجي.
جيڪڏهن ڊرائيور حادثي واري هنڌ کان فرار ٿي وڃي ته سزا ڇا ٿي سگهي ٿي؟,"جرمانو، قيد يا ٻئي سزا ٿي سگهي ٿي."
جيڪڏهن توهان حادثي ۾ ملوث آهيو ته ڇا ڪرڻ گهرجي؟,"حادثي جي جڳھ تي رهو، ٻين جي مدد ڪريو، پوليس کي اطلاع ڏيو، معلومات مهيا ڪريو، پنهنجو بيان ڏيو، ۽ وڪيل سان مشورو ڪريو."
جيڪڏهن حادثي ۾ موت يا جسم جو ڪو حصو وڃائجي ته سزا ڇا ٿي سگهي ٿي؟,چار سال قيد ۽ ٻه لک رپيا تائين جرمانو ٿي سگهي ٿو.
روڊ حادثي جي صورت ۾ ذميوار ڪير هوندو؟,عام طور تي ڊرائيور کي حادثي جو ذميوار قرار ڏنو ويندو آهي.
توهان کي ڪنهن سان رابطو ڪرڻ گهرجي ته جيئن مقامي قانونن ۽ تنظيم بابت ڄاڻ ملي سگهي؟,مقامي حڪومت يا قانوني صلاحڪار سان رابطو ڪريو.
ٽرئفڪ حادثي ۾ قصور جو تناسب ڇا هوندو آهي؟,"سيڪشن 60 مطابق هر حادثي جو تناسب 100٪، 75٪، 50٪ يا 25٪ ٿي سگهي ٿو."
ٽرئفڪ حادثي ۾ قصور جو تناسب ڪهڙي بنياد تي طئي ٿيندو آهي؟,"پهرين بنياد ""غفلت"" آهي، يعني ڊرائيور کي ڪجهه ڪرڻو هو پر نه ڪيو يا نه رڪيو."
ٽرئفڪ حادثي ۾ ڊرائيور کي سلطاني حق ڪڏهن ملي ٿو؟,"جيڪڏهن حادثو مجبوري ۾ ٿئي يا جانور سبب بڻجي، ته ڊرائيور کي استثنا ملي سگهي ٿو."
ڇا سلطاني حق سان معافي ممڪن آهي؟,جيڪڏهن جانور ذميوار هجي ۽ مالڪ نقصان برداشت ڪرڻ لاءِ تيار هجي ته معافي ملي سگهي ٿي.
ٽرئفڪ حادثي جي ذميواري ڪير مقرر ڪندو؟,ٽرئفڪ حادثي جو معائنو ڪندڙ (انسپيڪٽر) ذميواري طئي ڪندو.
ڪهڙي ڪميٽي اعتراض جو فيصلو ڪندي؟,ٽي رڪني ڪميٽي اعتراض جو فيصلو ڪندي.
جيڪڏهن حادثي جو قصور وار سڃاڻڻ مشڪل هجي ته ڇا ٿيندو؟,معقول سبب هجي ته ڪيس ٽرئفڪ ڪورٽ حوالي ڪيو ويندو.
قومي سڃاڻپ ڪارڊ ڇا آهي؟,"قومي سڃاڻپ ڪارڊ هڪ اهڙو ڪارڊ آهي جنهن ۾ نالو، ڄمڻ جي تاريخ، جنس، شناختي نمبر ۽ ٻيون ذاتي معلومات شامل هجن ٿيون."
NIC جي اهميت ڇا آهي؟,NIC جي اهميت اها آهي ته اها سڃاڻپ ثابت ڪري ٿي ۽ فراڊ روڪڻ ۾ مدد ڏئي ٿي.
NIC حاصل ڪرڻ لاءِ ڇا ڪرڻ گهرجي؟,"پنهنجي مقامي سڃاڻپ مرڪز تي وڃو، درخواست ڏيو، ڪاپي، تصوير ۽ اصل دستاويز گڏ ڪريو."
NIC حاصل ڪرڻ کانپوءِ ڇا ڪرڻ گهرجي؟,"NIC کي محفوظ رکو، ڪنهن سان شيئر نه ڪريو، گم ٿي وڃي ته نئون حاصل ڪريو."
NIC ڪهڙا فائدا ڏئي ٿو؟,NIC ضروري دستاويز آهي جيڪو ڪيترين ئي سرڪاري ۽ غير سرڪاري سهولتون مهيا ڪري ٿو.
قومي سڃاڻپ ڪارڊ ڇا آهي؟,قومي سڃاڻپ ڪارڊ هڪ اهم دستاويز آهي جيڪو ملڪ جي شهري جي سڃاڻپ لاءِ سرڪاري طور جاري ڪيو ويندو آهي.
قومي سڃاڻپ ڪارڊ جي اهميت ڇا آهي؟,"قومي سڃاڻپ ڪارڊ، فرد جي سڃاڻپ لاءِ اهميت رکي ٿو."
قومي سڃاڻپ ڪارڊ ڪٿي استعمال ٿئي ٿو؟,قومي سڃاڻپ ڪارڊ کي سرڪاري ۽ غير سرڪاري ادارن ۾ سڃاڻپ لاءِ استعمال ڪيو وڃي ٿو.
بغير NIC ڪهڙيون خدمتون مشڪل سان ملن ٿيون؟,"بغير NIC، سرڪاري، تعليم، صحت ۽ ٻين ڪيترين ئي سهولتن تائين رسائي مشڪل آهي."
قومي سڃاڻپ ڪارڊ ڪيئن منظور ٿئي ٿو؟,درخواست ڏيڻ ۽ دستاويز جمع ڪرڻ کانپوءِ قومي سڃاڻپ ڪارڊ منظور ڪيو ويندو آهي.
قومي سڃاڻپ ڪارڊ جي مدت ڇا آهي؟,"قومي سڃاڻپ ڪارڊ عام طور تي 5 سالن لاءِ جاري ڪيو ويندو آهي، ان کانپوءِ واڌاري جي ضرورت پوي ٿي."
NIC لاءِ عمر جي حد ڇا آهي؟,عام طور تي 18 سال کانپوءِ NIC لاءِ درخواست ڏئي سگهجي ٿي.
قومي سڃاڻپ ڪارڊ جي درخواست ڪيئن تيار ٿئي ٿي؟,فارم ڀريو جيڪو قومي سڃاڻپ ڪارڊ لاءِ مخصوص آهي.
قومي سڃاڻپ ڪارڊ حاصل ڪرڻ لاءِ ڪهڙا دستاويز ضروري آهن؟,"تصوير، ID، پتي جو ثبوت (مثال: پاسپورٽ، رجسٽريشن ڪارڊ وغيره)، ۽ ٻيا ضروري دستاويز."
قومي سڃاڻپ ڪارڊ جي درخواست ڪٿي جمع ڪرائجي ٿي؟,درخواست ۽ دستاويز شناختي اداري يا سرڪاري آفيس ۾ جمع ڪرائڻا پوندا.
قومي سڃاڻپ ڪارڊ تيار ڪرڻ جو عمل ڪيئن آهي؟,درخواست ۽ دستاويزن جي تصديق بعد تياري جو عمل شروع ٿئي ٿو.
قومي سڃاڻپ ڪارڊ حاصل ڪرڻ جي عمر جي حد ڇا آهي؟,18 سالن کان وڌيڪ عمر جو هر پاڪستاني شهري قومي سڃاڻپ ڪارڊ لاءِ اهل آهي.
قومي سڃاڻپ ڪارڊ جو استعمال ڇو ضروري آهي؟,"قومي سڃاڻپ ڪارڊ هر شهري جي بنيادي ضرورت آهي جيئن ووٽ ڏيڻ، لائسنس، اين ٽي اين، بينڪ اڪائونٽ، پاسپورٽ يا موبائل حاصل ڪرڻ."
قومي شناختي ڪارڊ جي اهميت ڇا آهي؟,"جيستائين ڪو به فرد نادرا کان جاري ڪيل صحيح قومي سڃاڻپ ڪارڊ نٿو وٺي، هو ووٽ ڏيڻ يا چونڊن ۾ حصو وٺڻ سميت بنيادي حقن کان محروم رهندو ۽ سرڪاري سهولتون حاصل نه ٿو ڪري سگهي."
قومي شناختي ڪارڊ ڪن کي جاري ڪيو وڃي ٿو؟,قومي سڃاڻپ ڪارڊ صرف پاڪستاني شهريءَ کي جاري ڪيو وڃي ٿو.
قومي شناختي ڪارڊ جي منسوخي جو عمل ڇا آهي؟,منسوخي لاءِ اوهان کي سرڪاري اداري يا آفيس ۾ درخواست ڏيڻ ۽ رد ٿيل ڪارڊ جمع ڪرائڻو پوندو.
قومي سڃاڻپ ڪارڊ کانسواءِ ڪهڙيون خدمتون حاصل نه ٿيون ٿي سگهن؟,"قومي سڃاڻپ ڪارڊ کانسواءِ، جهڙوڪ ووٽ ڏيڻ، بينڪ اڪائونٽ کولڻ وغيره جون خدمتون حاصل نه ٿيون ڪري سگهجن."
قومي سڃاڻپ ڪارڊ جو نمبر ڇا آهي؟,قومي سڃاڻپ ڪارڊ جو نمبر 13 عددن تي ٻڌل منفرد سڃاڻپ نمبر هوندو آهي جيڪو ملڪ ۾ هر هنڌ تسليم ٿيل آهي.
قومي سڃاڻپ ڪارڊ جي تصديق ڪيئن ڪئي وڃي ٿي؟,قومي سڃاڻپ ڪارڊ جي تصديق عام طور تي سرڪاري اداري يا آفيس ۾ ڪئي ويندي آهي.
قومي سڃاڻپ ڪارڊ جي فيس ڇا آهي؟,قومي سڃاڻپ ڪارڊ جي فيس سرڪاري قانونن ۽ اداري تي دارومدار رکي ٿي.
شناختي ڪارڊ جي درخواست ڪيئن ڪجي؟,نادرا سينٽر تي وڃو يا پاڪ شناختي ويب سائيٽ تان آن لائن درخواست ڏيو.
فيس ڪٿي جمع ٿيندي؟,فيس لاڳو ڪندڙ شاخ جي فيس ڪائونٽر تي جمع ڪرائڻي پوندي.
آڱرين سان ڇا ٿيندو؟,اوهان جي آڱرين جا نشان ۽ دستخط ورتا ويندا.
فارم ڇپائي ڇو ڏنو ويندو؟,فارم پرنٽ ڪري اوهان کي معلومات جي تسلي لاءِ ڏنو ويندو.
فارم جو هڪ پرنٽ ڪنھن کي ڏنو ويندو؟,فارم جو هڪ پرنٽ اوهان کي ڏنو ويندو.
جڏهن معلومات درست هجي ته ڇا ڪجي؟,فارم جي معلومات درست هجي ته گزيٽڊ آفيسر کان تصديق ڪرائي فارم جمع ڪرايو.
جيڪڏهن ڪنهن گهر واري کي گڏ آڻجي ته ڇا ٿيندو؟,"گهر واري سان گڏ آڻڻ سان فارم جي تصديق جي ضرورت نه رهندي، صرف آڱرين جا نشان لڳندا."
پاڪ شناختي ويب سائيٽ تي ڇا ڪري سگھجي ٿو؟,"پاڪ شناختي ويب سائيٽ تان نئون، تجديد يا تبديلي جو عمل ڪري سگهو ٿا."
پاڪ شناختي ويب سائيٽ ڪيئن استعمال ڪجي؟,پاڪ شناختي ويب سائيٽ تان سمارٽ ڪارڊ لاءِ درخواست ڏئي گهر ويٺي حاصل ڪري سگهو ٿا.
آن لائن سڃاڻپ ڪارڊ جي تجديد جو طريقو ڇا آهي؟,پاڪ شناختي ويب سائيٽ تي پنهنجي ڪارڊ جي تجديد لاءِ درخواست ڏيو.
تجديد ڪيئن ڪجي؟,تجديد لاءِ ويب سائيٽ تي اپليڪيشن ۽ تازيون تصويرون اپلوڊ ڪريو.
دستاويز ڪيئن اپلوڊ ڪجن؟,پاڪ شناختي ويب سائيٽ تي هدايتن تي عمل ڪندي دستاويز اپلوڊ ڪريو.
آن لائن درخواست بعد ڇا ٿيندو؟,"آن لائن درخواست بعد ڪارروائي ٿي، ڪارڊ اوهان جي ايڊريس تي موڪليو ويندو."
FIR ڇا آهي؟,FIR هڪ قانوني دستاويز آهي جيڪو ڏوهه جي رپورٽ لاءِ پوليس کي ڏنو وڃي ٿو.
پوليس FIR جي ذريعي ڇا ڪندي آهي؟,پوليس FIR ملڻ بعد تفتیش شروع ڪري ٿي.
FIR لاءِ ڪهڙي معلومات گهرجي؟,"FIR لاءِ ڏوهه جي نوعيت، متاثر، مشڪوڪ ۽ شاهدن جا تفصيل گهربل آهن."
پاڪستان ۾ FIR ڇا آهي؟,پاڪستان ۾ FIR ڏوهه جي رپورٽ لاءِ پوليس وٽ داخل ڪرائجي ٿي.
FIR ڪهڙي سيڪشن ۾ داخل ٿئي ٿي؟,پاڪستاني قانون جي سيڪشن 154 تحت FIR داخل ٿئي ٿي.
"سنڌ، پنجاب ۽ وفاق ۾ FIR سسٽم ڪيئن آهي؟",انهن صوبن ۾ اليڪٽرانڪ FIR سسٽم لاڳو آهي.
ڪهڙي صوبي ۾ آن لائن FIR جي سهولت آهي؟,خيبرپختونخوا ۾ آن لائن FIR جي سهولت فراهم ڪئي وئي آهي.
اسلام آباد ۾ FIR جو نظام ڪيئن آهي؟,اسلام آباد ۾ صرف اليڪٽرانڪ FIR سسٽم رائج آهي.
FIR جي وضاحت ڇو ضروري آهي؟,FIR جي وضاحت ڏوهه جي تفصيل لاءِ لازمي آهي.
جرم جي ايف آءِ آر ڪٿي داخل ٿئي ٿي؟,ايف آءِ آر عام طور تي مقامي پوليس اسٽيشن يا مرڪزي پوليس آفيس ۾ داخل ٿيندي آهي.
ايف آءِ آر داخل ڪرڻ لاءِ ڪهڙي سڃاڻپ گهرجي؟,عام طور تي رپورٽ ڪندڙ جي سڃاڻپ لاءِ سند جي ضرورت هوندي آهي.
ايف آءِ آر جون تاريخون ڪيترو وقت معتبر رهن ٿيون؟,ايف آءِ آر جون تاريخون عام طور تي تحقيقات ۽ دفاع لاءِ معتبر هونديون آهن.
ايف آءِ آر داخل ڪرائڻ تي ڪيترو خرچ ايندو؟,"عام طور تي ايف آءِ آر داخل ڪرائڻ لاءِ ڪا به فيس يا خرچ نه هوندو آهي، هي مفت سروس آهي."
جيڪڏهن پوليس اهلڪار درخواست وٺڻ کان انڪار ڪري؟,جيڪڏهن پوليس اهلڪار درخواست نه وٺي ته سب ڊويزنل پوليس آفيسر کي درخواست ڏيو.
ايف آءِ آر ڪير لکي سگھي ٿو؟,ڊي پي پاڻ ايف آءِ آر لکي سگهي ٿو يا لاڳاپيل پوليس اسٽيشن کي هدايت ڏئي سگهي ٿو.
"""جسٽس آف پيِس"" جو عهدي دار ڪير آهي؟","حڪومت هر ضلعي جي ڪجهه ججن کي ""جسٽس آف پيِس"" جو عهدي دار مقرر ڪيو آهي."
"""جسٽس آف پيِس"" جو ڪردار ڇا آهي؟""",جسٽس آف پيِس کي ايف آءِ آر داخل ڪرائڻ جي هدايت ڏيڻ جو اختيار آهي.
ايف آءِ آر ۽ رپورٽ لکڻ ۾ فرق ڇا آهي؟,شڪايت ۽ ايف آءِ آر ۾ بنيادي فرق آهي: شڪايت عدالت ۾ بيان کانپوءِ داخل ٿئي ٿي.
ڇا ايف آءِ آر تي ملزم کي گرفتار ڪيو وڃي ٿو؟,"ايف آءِ آر بعد ملزم کي فوراً گرفتار ڪيو وڃي ٿو، پوءِ پوليس تحقيق بعد عدالت ۾ پيش ڪري ٿي."
ايف آءِ آر داخل ڪرائڻ جو حق ڪنھن وٽ آهي؟,هر شهري جو حق آهي ته قابل دست اندازي ڏوهه لاءِ ايف آءِ آر داخل ڪرائي.
عوامي شڪايتن تي پوليس کي ڪهڙيون هدايتون ڏنيون ويون آهن؟,پوليس کي سختي سان هدايت ڪئي وئي آهي ته ايف آءِ آر ۾ دير نه ڪئي وڃي.
ايف آءِ آر ۾ دير تي ڪير سزا ڏئي ٿو؟,پوليس اهلڪارن کي ايف آءِ آر جي دير تي اداري طرفان سزا ملي ٿي.
ڪهڙي ڏوهه لاءِ ايف آءِ آر ضروري آهي؟,"هر ڏوهه لاءِ لازمي ناهي، رڳو قابل دست اندازي ڏوهه لاءِ ضروري آهي."
رپورٽ لکڻ جو اختيار ڪنھن وٽ آهي؟,"رپورٽ لکڻ محرر جو فرض آهي، ايف آءِ آر هر شهري جو حق آهي."
ڇا ايف آءِ آر بعد ملزم گرفتار ٿئي ٿو؟,"ايف آءِ آر کان پوءِ ملزم فوراً گرفتار ٿئي ٿو، بعد ۾ پوليس چالان پيش ڪري ٿي."
مئجسٽريٽ تحقيق لاءِ ڪنھن کي مقرر ڪري ٿو؟,مئجسٽريٽ ڪنهن به پوليس آفيسر يا سرڪاري عهديدار کي مقرر ڪري سگهي ٿو.
ايف آءِ آر ۾ دير بعد ڇا ٿي سگهي ٿو؟,ايف آءِ آر جي دير تي پوليس اهلڪارن کي ادارتي سزا ملي ٿي.
ڇا ايف آءِ آر اي ميل ذريعي به داخل ٿي سگهي ٿي؟,"ها، ايف آءِ آر اي ميل ذريعي به داخل ٿي سگهي ٿي."
رپورٽ ڇا آهي؟,"رپورٽ کي سچو هجڻ گهرجي، اهو ئي بهتر آهي."
ڇا پنجاب جي ٿاڻن ۾ ڪمپيوٽر رکيا ويا آهن؟,پنجاب جي پوليس اسٽيشنن ۾ ڪمپيوٽر رکيا ويا آهن ۽ رڪارڊ ڪمپيوٽر ۾ فيڊ ڪيو پيو وڃي.
ايف آءِ آر جي ڪاپي لاءِ اڳ ڇا ڪرڻو پوندو هو؟,اڳ ۾ ايف آءِ آر جي ڪاپي لاءِ قانوني عمل مان گذرڻو پوندو هو.
ايف آءِ آر ڊائون لوڊ جي سهولت ڪير وٺي سگهي ٿو؟,هاڻي انٽرنيٽ تي ايف آءِ آر ڊائون لوڊ جي سهولت عام ماڻهن لاءِ موجود آهي.
جانشيني سرٽيفڪيٽ ڇا آهي؟,جانشيني سرٽيفڪيٽ قانوني دستاويز آهي جيڪو وارث کي ملڪيت جو مالڪ تسليم ڪري ٿو.
جانشيني سرٽيفڪيٽ لاءِ درخواست ڪٿي ڏني وڃي؟,جانشيني سرٽيفڪيٽ لاءِ مقامي عدالت ۾ درخواست ڏني ويندي آهي.
جانشيني سرٽيفڪيٽ لاءِ ڪهڙا دستاويز گهرجن؟,"موت جو سرٽيفڪيٽ، وصيت (جيڪڏهن هجي)، ملڪيت جي فهرست، سڃاڻپ وغيره گهربل آهن."
جانشيني سرٽيفڪيٽ جو طريقيقار ڇا آهي؟,عدالت درخواست جي جانچ بعد سرٽيفڪيٽ جاري ڪندي.
جانشيني سرٽيفڪيٽ جي اهميت ڇا آهي؟,جانشيني سرٽيفڪيٽ سان وارث ملڪيت منتقل ڪري سگهن ٿا.
جڏهن جانشيني سرٽيفڪيٽ جي ضرورت هجي ته ڇا ڪجي؟,ضرورت هجي ته وڪيل سان مشورو ڪيو.
جانشيني سرٽيفڪيٽ حاصل ڪرڻ جو عمل ڪنهن تي دارومدار رکي ٿو؟,هر ملڪ جي قانوني عمل تي مدار رکي ٿو.
"PAO 1965 تحت، لائسنس ڪڏهن منسوخ يا معطل ٿئي ٿو؟","لائسنس شرطن جي ڀڃڪڙي، غلط استعمال يا خراب شهرت تي معطل/منسوخ ٿي سگهي ٿو."
جيڪڏهن لائسنس معطل/منسوخ ٿئي ته ڇا ڪرڻو آهي؟,لائسنس واپس ڪرڻو ۽ هٿيار جمع ڪرائڻو پوندو.
پاڪستان آرمز آرڊيننس 1965 تحت منسوخي/معطلي جو طريقو ڇا آهي؟,"درخواست، جانچ، منظوري بعد منسوخي يا معطلي ٿيندي."
لائسنس لاءِ درخواست ڪيئن ڏجي؟,"ذاتي معلومات، هٿيار جي قسم، مقصد، سڃاڻپ، تصوير وغيره سان درخواست ڏني وڃي."
لائسنس جي تشريح ڇا جي تحت ٿئي ٿي؟,لاڳاپيل قانون ۽ اصولن تحت لائسنس جا ضابطا مقرر ٿين ٿا.
لائسنس جي منظوري جو طريقو ڇا آهي؟,قانوني جانچ بعد لائسنس جاري ٿئي ٿو.
لائسنس جي منسوخي/معطلي جو طريقو ڇا آهي؟,قانوني طور ڀڃڪڙي تي منسوخ يا معطل ٿئي ٿو.
خانداني عدالتن ۾ ڪيسن جي پيروي جو طريقو ڇا آهي؟,"درخواست، وڪالت، ثبوت، سماعت، فيصلو ۽ عملدرآمد ٿيندو آهي."
ڪيس ڪيئن داخل ڪجي؟,درخواست سان گڏ ڪيس جي تفصيل عدالت ۾ پيش ڪجي.
عدالت ۾ سماعت دوران ڇا ڪرڻ گهرجي؟,"بحث، ثبوت پيش ڪرڻ، دليل ڏيڻ ۽ وڪيل سان مشورو ڪرڻ گهرجي."
پاڪستان ۾ عائلي عدالتن ۾ ڪيسن جي پيروي جو طريقيڪار ڇا آهي؟,پاڪستان ۾ عائلي عدالتن ۾ ڪيسن جي پيروي جو طريقو عام طور تي مقامي عدالتن ۽ قانونن تي دارومدار رکي ٿو.
ملڪيت حاصل ڪرڻ جو طريقيڪار ڇا آهي؟,ملڪيت حاصل ڪرڻ جو طريقيڪار ملڪن جي قانوني عمل تي منحصر آهي. هيٺ ڏنل قدم عام طور تي ملڪيت حاصل ڪرڻ لاءِ استعمال ٿيندا آهن.
ملڪيت حاصل ڪرڻ لاءِ قانوني مشورو ڪيئن حاصل ڪجي؟,پهريون قدم قانوني مشورو حاصل ڪرڻ آهي. قانوني وڪيل سان رابطو ڪريو ته جيئن توهان کي قانوني معلومات ۽ رهنمائي ملي سگهي.
ملڪيت حاصل ڪرڻ لاءِ درخواست فارم ڪيئن تيار ڪجي؟,"ضابطن جي مطابق درخواست فارم تيار ڪيو وڃي ٿو، جيڪو عام طور تي قانوني ادارن يا عدالتن کان ملي سگهي ٿو."
ملڪيت حاصل ڪرڻ لاءِ درخواست جمع ڪرائڻ جو طريقيڪار ڇا آهي؟,"مڪمل درخواست فارم ۽ دستاويز عدالت يا قانوني ادارن ۾ جمع ڪرايا وڃن، ۽ رسيد حاصل ڪئي وڃي."
ملڪيت حاصل ڪرڻ لاءِ تصديق ۽ پروسيسنگ جو طريقيڪار ڇا آهي؟,"درخواست ۽ دستاويزن جي تصديق کان پوءِ ملڪيت حاصل ڪرڻ جو عمل شروع ٿئي ٿو، ۽ عدالت اضافي معلومات لاءِ فارم يا بيان فراهم ڪري ٿي."
